#{"t_start": 1729962371.660071, "env_id": "None"}
r,l,t
-0.5,1,93.77001
-0.5,1,93.871382
-0.5,1,93.977011
-0.5,1,94.087324
-0.5,1,94.191547
-0.5,1,94.297142
-0.5,1,94.403811
-0.5,1,94.500011
-0.5,1,94.597378
-0.5,1,94.697996
-0.5,1,94.796345
-0.5,1,94.900088
-0.5,1,95.002975
-0.5,1,95.101087
-0.5,1,95.205794
-0.5,1,95.307217
-0.5,1,95.405813
-0.5,1,95.501416
-0.5,1,95.605639
-0.5,1,95.704282
-0.5,1,95.799017
-0.5,1,95.898161
-0.5,1,95.996375
-0.5,1,96.094862
-0.5,1,96.194578
-0.5,1,96.292733
-0.5,1,96.38851
-0.5,1,96.473167
-0.5,1,96.559137
-0.5,1,96.6455
-0.5,1,96.732923
-0.5,1,96.820024
-0.5,1,96.904916
-0.5,1,96.992935
-0.5,1,97.089583
-0.5,1,97.178084
-0.5,1,97.262774
-0.5,1,97.351473
-0.5,1,97.435196
-0.5,1,97.520066
-0.5,1,97.605893
-0.5,1,97.690541
-0.5,1,97.775367
-0.5,1,97.862371
-0.5,1,97.948535
-0.5,1,98.03624
-0.5,1,98.124549
-0.5,1,98.208814
-0.5,1,98.292321
-0.5,1,98.379441
-0.5,1,98.462012
-0.5,1,98.551471
-0.5,1,98.639693
-0.5,1,98.725403
-0.5,1,98.810943
-0.5,1,98.894371
-0.5,1,98.983916
-0.5,1,99.068371
-0.5,1,99.153375
-0.5,1,99.239622
-0.5,1,99.327944
-0.5,1,99.414409
-0.5,1,99.50116
-0.5,1,99.58741
-0.5,1,99.673044
-0.5,1,99.757401
-0.5,1,99.841214
-0.5,1,99.92897
-0.5,1,100.015682
-0.5,1,100.100994
-0.5,1,100.184965
-0.5,1,100.271392
-0.5,1,100.355462
-0.5,1,100.439872
-0.5,1,100.522971
-0.5,1,100.607007
-0.5,1,100.690559
-0.5,1,100.778403
-0.5,1,100.861921
-0.5,1,100.945799
-0.5,1,101.034373
-0.5,1,101.118885
-0.5,1,101.206002
-0.5,1,101.289418
-0.5,1,101.372453
-0.5,1,101.4574
-0.5,1,101.54463
-0.5,1,101.632056
-0.5,1,101.720274
-0.5,1,101.803921
-0.5,1,101.887426
-0.5,1,101.973015
-0.5,1,102.057392
-0.5,1,102.144587
-0.5,1,102.231487
-0.5,1,102.315371
-0.5,1,102.399883
-0.5,1,102.484195
-0.5,1,102.56898
-0.5,1,102.657789
-0.5,1,102.744952
-0.5,1,102.828452
-0.5,1,102.910936
-0.5,1,102.995655
-0.5,1,103.078695
-0.5,1,103.16401
-0.5,1,103.247339
-0.5,1,103.335365
-0.5,1,103.42095
-0.5,1,103.508618
-0.5,1,103.594592
-0.5,1,103.678723
-0.5,1,103.765632
-0.5,1,103.849896
-0.5,1,103.935233
-0.5,1,104.020693
-0.5,1,104.106189
-0.5,1,104.192667
-0.5,1,104.28841
-0.5,1,104.374495
-0.5,1,104.463696
-0.5,1,104.551074
-0.5,1,104.641874
-0.5,1,104.726376
-0.5,1,104.81477
-0.5,1,104.904457
-0.5,1,104.998421
-0.5,1,105.08578
-0.5,1,105.169976
-0.5,1,105.262846
-0.5,1,105.350436
-0.5,1,105.43537
-0.5,1,105.52095
-0.5,1,105.604257
-0.5,1,105.688406
-0.5,1,105.772451
-0.5,1,105.858038
-0.5,1,105.945693
-0.5,1,106.031366
-0.5,1,106.118002
-0.5,1,106.203694
-0.5,1,106.286953
-0.5,1,106.372913
-0.5,1,106.45974
-0.5,1,106.544927
-0.5,1,106.627142
-0.5,1,106.711373
